station_id,timestamp,ebikes_available,classic_bikes_available,docks_available
5075ddc9-7546-44a6-9445-0a48a53267df,2025/06/28 09:12,9,1,9
141766fa-fa3b-4c61-8e46-a8673c910a0c,2025/06/28 09:12,0,9,3
0825baa3-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,9,6
0824c1a1-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,3,4,4
0825180e-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,0,14
af5c5675-452b-4e1f-9d9f-7f4a0c50388d,2025/06/28 09:12,1,8,9
1950995089993550758,2025/06/28 09:12,0,0,12
2072399988132893690,2025/06/28 09:12,0,0,16
66c82803-70e3-496f-9942-30e0936de3f5,2025/06/28 09:12,0,3,16
0825f8da-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,12,2
77cd13d5-f671-437a-a59c-bcc74c6b211e,2025/06/28 09:12,1,2,11
347b72fa-4ae2-4017-a9bf-344a122cddeb,2025/06/28 09:12,0,4,6
0826132d-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,2,0,18
1928837279316128558,2025/06/28 09:12,0,12,3
bce02846-6f5e-466a-a643-50534a119533,2025/06/28 09:12,0,5,12
e84a9c46-89ce-45dc-866f-fe8cbc50e88e,2025/06/28 09:12,0,6,5
d325a449-32d7-488d-b746-9455ad003834,2025/06/28 09:12,0,9,8
082636d5-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,8,4
e07eed7c-2d2a-4f13-aff7-2be6500958f7,2025/06/28 09:12,0,8,7
174fc644-1a5a-4923-a8b5-373e0ad04525,2025/06/28 09:12,0,1,13
08249d44-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,10,4
732103a1-eedd-4044-afa6-67b2d192ff22,2025/06/28 09:12,1,6,12
0824cdb0-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,2,5,15
08249a1c-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,1,14
0824806c-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,2,13
0824a5b0-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,3,16
08254529-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,5,10
2059787017920998338,2025/06/28 09:12,0,4,16
1941813138517442794,2025/06/28 09:12,0,1,18
0824bb59-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,6,12
a0d0ec92-ebda-436a-b476-7ee9a7bdb67d,2025/06/28 09:12,0,7,12
cec05512-b9d1-4671-bc76-8b168079db93,2025/06/28 09:12,1,2,7
2213781a-5c69-43eb-9b33-346d61e7e1ba,2025/06/28 09:12,0,2,13
0826005e-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,3,16
08251c45-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,2,9
08265262-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,1,14
0825fb66-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,7,7
b554d2fc-8912-4730-b2cb-9a3e1a96b223,2025/06/28 09:12,1,11,15
55d4e20d-6b27-485e-8115-4046ac2313ea,2025/06/28 09:12,1,0,17
0824e68d-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,6,21
08256fcd-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,1,6
2007431383556444258,2025/06/28 09:12,0,2,12
5f0f9566-90d4-431e-9b6d-994e26d20ec6,2025/06/28 09:12,0,2,16
27d919c7-7fda-41d1-9c05-2f537d5c4ce2,2025/06/28 09:12,1,12,2
08249b7f-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,9,38
2084992700567684030,2025/06/28 09:12,1,4,11
2260574d-dbc6-4416-9f8c-3e1fcc0d9f5b,2025/06/28 09:12,1,5,9
1877753940179542324,2025/06/28 09:12,1,7,11
082484cf-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,22,15
0825f1f7-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,6,11
082524a2-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,6,4
08263f4a-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,9,6
08252a00-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,5,9
4b55ad18-eb2e-47b5-aaeb-aefd6ad856fd,2025/06/28 09:12,0,8,4
